archivo: .venv/lib/python3.12/site-packages/django/db/models/query.py  (2782 lineas)

=== QuerySet(AltersData)  :283-2097  metodos=111 atributos=1
  ATTR	as_manager	325	as_manager = classmethod(as_manager)
  DEF 	select_for_update	1628-1642	-	(self, nowait=False, skip_locked=False, of=(), no_key=False)	Return a new QuerySet instance that will select objects with a
  DEF 	select_related	1644-1666	-	(self, *fields)	Return a new QuerySet instance that will select related objects.
  DEF 	prefetch_related	1668-1691	-	(self, *lookups)	Return a new QuerySet instance that will prefetch the specified
  DEF 	annotate	1693-1699	-	(self, *args, **kwargs)	Return a query set in which the returned objects have been annotated
  DEF 	alias	1701-1706	-	(self, *args, **kwargs)	Return a query set with added aliases for extra data or aggregations.
  DEF 	_annotate	1708-1764	-	(self, args, kwargs, select=True)	
  DEF 	order_by	1766-1773	-	(self, *field_names)	Return a new QuerySet instance with the ordering changed.
  DEF 	distinct	1775-1786	-	(self, *field_names)	Return a new QuerySet instance that will select only distinct results.
  DEF 	extra	1788-1803	-	(self, select=None, where=None, params=None, tables=None, order_by=None, select_params=None)	Add extra SQL fragments to the query.
  DEF 	reverse	1805-1811	-	(self)	Reverse the ordering of the QuerySet.
  DEF 	defer	1813-1828	-	(self, *fields)	Defer the loading of data for certain fields until they are accessed.
  DEF 	only	1830-1849	-	(self, *fields)	Essentially, the opposite of defer(). Only the fields passed into this
  DEF 	using	1851-1855	-	(self, alias)	Select which database this QuerySet should execute against.
  DEF 	ordered	1862-1880	property	(self)	Return True if the QuerySet is ordered -- i.e. has an order_by()
  DEF 	db	1883-1887	property	(self)	Return the database used if this query is executed now.
  DEF 	_insert	1893-1918	-	(self, objs, fields, returning_fields=None, raw=False, using=None, on_conflict=None, update_fields=None, unique_fields=None)	Insert a new record for the given model. This provides an interface to
  DEF 	_batched_insert	1923-1966	-	(self, objs, fields, batch_size, on_conflict=None, update_fields=None, unique_fields=None)	Helper method for bulk_create() to insert objs one batch at a time.
  DEF 	_chain	1968-1977	-	(self)	Return a copy of the current QuerySet that's ready for another
  DEF 	_clone	1979-1996	-	(self)	Return a copy of the current QuerySet. A lightweight alternative
  DEF 	_fetch_all	1998-2002	-	(self)	
  DEF 	_next_is_sticky	2004-2016	-	(self)	Indicate that the next filter call and the one following that should
  DEF 	_merge_sanity_check	2018-2028	-	(self, other)	Check that two QuerySet classes may be merged.
  DEF 	_merge_known_related_objects	2030-2035	-	(self, other)	Keep track of all known related objects from either QuerySet instance.
  DEF 	resolve_expression	2037-2040	-	(self, *args, **kwargs)	
  DEF 	_add_hints	2044-2049	-	(self, **hints)	Update hinting information for use by routers. Add new key/values or
  DEF 	_has_filters	2051-2057	-	(self)	Check if this QuerySet has any filtering going on. This isn't
  DEF 	_validate_values_are_expressions	2060-2071	staticmethod	(values, method_name)	
  DEF 	_not_support_combined_queries	2073-2078	-	(self, operation_name)	
  DEF 	_check_operator_queryset	2080-2082	-	(self, other, operator_)	
  DEF 	_check_ordering_first_last_queryset_aggregation	2084-2097	-	(self, method)	

=== ModelIterable(BaseIterable)  :86-150  metodos=1 atributos=0
  DEF 	__iter__	89-150	-	(self)	
